"id","average_wage","industry","average_price","category","year"
276,18740,Zásobování vodou; činnosti související s odpady a sanacemi,35.31,Papriky,2006
277,19042,Zdravotní a sociální péče,35.31,Papriky,2006
278,14818,"Zemědělství, lesnictví, rybářství",35.31,Papriky,2006
279,18482,Zpracovatelský průmysl,35.31,Papriky,2006
280,19536,,35.31,Papriky,2006
281,14444,Administrativní a podpůrné činnosti,38.60,Pečivo pšeničné bílé,2006
282,19242,Činnosti v oblasti nemovitostí,38.60,Pečivo pšeničné bílé,2006
283,19257,Doprava a skladování,38.60,Pečivo pšeničné bílé,2006
284,35793,Informační a komunikační činnosti,38.60,Pečivo pšeničné bílé,2006
285,16827,"Kulturní, zábavní a rekreační činnosti",38.60,Pečivo pšeničné bílé,2006
286,16484,Ostatní činnosti,38.60,Pečivo pšeničné bílé,2006
287,40027,Peněžnictví a pojišťovnictví,38.60,Pečivo pšeničné bílé,2006
288,24645,"Profesní, vědecké a technické činnosti",38.60,Pečivo pšeničné bílé,2006
289,17850,Stavebnictví,38.60,Pečivo pšeničné bílé,2006
290,24067,Těžba a dobývání,38.60,Pečivo pšeničné bílé,2006
291,11674,"Ubytování, stravování a pohostinství",38.60,Pečivo pšeničné bílé,2006
292,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,38.60,Pečivo pšeničné bílé,2006
293,23285,Veřejná správa a obrana; povinné sociální zabezpečení,38.60,Pečivo pšeničné bílé,2006
294,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",38.60,Pečivo pšeničné bílé,2006
295,20030,Vzdělávání,38.60,Pečivo pšeničné bílé,2006
296,18740,Zásobování vodou; činnosti související s odpady a sanacemi,38.60,Pečivo pšeničné bílé,2006
297,19042,Zdravotní a sociální péče,38.60,Pečivo pšeničné bílé,2006
298,14818,"Zemědělství, lesnictví, rybářství",38.60,Pečivo pšeničné bílé,2006
299,18482,Zpracovatelský průmysl,38.60,Pečivo pšeničné bílé,2006
300,19536,,38.60,Pečivo pšeničné bílé,2006
301,14444,Administrativní a podpůrné činnosti,8.45,"Pivo výčepní, světlé, lahvové",2006
302,19242,Činnosti v oblasti nemovitostí,8.45,"Pivo výčepní, světlé, lahvové",2006
303,19257,Doprava a skladování,8.45,"Pivo výčepní, světlé, lahvové",2006
304,35793,Informační a komunikační činnosti,8.45,"Pivo výčepní, světlé, lahvové",2006
305,16827,"Kulturní, zábavní a rekreační činnosti",8.45,"Pivo výčepní, světlé, lahvové",2006
306,16484,Ostatní činnosti,8.45,"Pivo výčepní, světlé, lahvové",2006
307,40027,Peněžnictví a pojišťovnictví,8.45,"Pivo výčepní, světlé, lahvové",2006
